name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Building Modern Node.js Applications on AWS,https://www.coursera.org/learn/building-modern-node-applications-on-aws,Information Technology,Cloud Computing,"Morgan Willis, Seph Robinson","In modern cloud native application development, it’s oftentimes the goal to build out serverless architectures that are scalable, are highly available, and are fully managed. This means less operational overhead for you and your business, and more focusing on the applications and business specific projects that differentiate you in your marketplace. In this course, we will be covering how to build a modern, greenfield serverless backend on AWS. 

Building brand new applications on AWS is a different task than lifting and shifting existing applications into AWS. When you have an existing application that you need to move to AWS, you might first look to using Amazon EC2 as your virtual machines, or maybe you might look into using docker containers and container hosting services like Amazon Elastic Container Service or Amazon Elastic Kubernetes Service. Those are all great application hosting options, but in most cases, they still require you to have some kind of pulse on the underlying infrastructure hosting your application. 	`

Building Modern Node.js Applications on AWS will explore how to build an API driven application using Amazon API Gateway for serverless API hosting, AWS Lambda for serverless computing, and Amazon Cognito for serverless authentication. We will follow an API driven development process and first mock up what the API will look like. We will cover all the ins and outs of the service Amazon API Gateway, and as you’ll learn- it does a lot more than just hosting an API. 

Then we will add authentication to the API using Amazon Cognito. You’ll learn about how the authorization flow works with Cognito, and how to build it into your APIs. From there, we will add a Lambda backend that will be triggered by API Gateway. The lambda functions will be using the AWS SDKs to perform various data processing tasks. You’ll learn about the different configurations that exist for Lambda, and we will show you how to create and manage lambda functions. Some of the features of our API will require multiple lambda functions to execute in a specific order, like a workflow, and we will use AWS Step Functions to create a serverless workflow. Finally, we will talk about how to optimize your APIs at every layer using AWS features.

Note: There are three versions of this class, ""Building Modern Node.js Applications on AWS"" for Node.js developers, ""Building Modern Python Applications on AWS"" for Python developers, and ""Building Modern Java Applications on AWS"" for Java developers.  The courses do for a large part, overlap and in general, we recommend that you take the course that focuses on the SDK you plan to use to develop your AWS Cloud based applications.

We expect that you have basic knowledge of AWS already. Some examples of concepts you should be familiar with are: you should know the basics of the AWS Global infrastructure, like what regions and availability zones are. You also should know the at a high-level AWS Identity and Access Management, or IAM, and how it is used to control access to AWS resources. You should also understand what an Amazon EC2 instance is, what Amazon S3 is, what a VPC is, as well as other basic AWS terminology.",10954.0,20942.0,4.5,77.0
Building Modern Python Applications on AWS,https://www.coursera.org/learn/building-modern-python-applications-on-aws,Information Technology,Cloud Computing,"Morgan Willis, Seph Robinson","In modern cloud native application development, it’s oftentimes the goal to build out serverless architectures that are scalable, are highly available, and are fully managed. This means less operational overhead for you and your business, and more focusing on the applications and business specific projects that differentiate you in your marketplace. In this course, we will be covering how to build a modern, greenfield serverless backend on AWS. 

Building brand new applications on AWS is a different task than lifting and shifting existing applications into AWS. When you have an existing application that you need to move to AWS, you might first look to using Amazon EC2 as your virtual machines, or maybe you might look into using docker containers and container hosting services like Amazon Elastic Container Service or Amazon Elastic Kubernetes Service. Those are all great application hosting options, but in most cases, they still require you to have some kind of pulse on the underlying infrastructure hosting your application. 	`

Building Modern Python Applications on AWS will explore how to build an API driven application using Amazon API Gateway for serverless API hosting, AWS Lambda for serverless computing, and Amazon Cognito for serverless authentication. We will follow an API driven development process and first mock up what the API will look like. We will cover all the ins and outs of the service Amazon API Gateway, and as you’ll learn- it does a lot more than just hosting an API. 

Then we will add authentication to the API using Amazon Cognito. You’ll learn about how the authorization flow works with Cognito, and how to build it into your APIs. From there, we will add a Lambda backend that will be triggered by API Gateway. The lambda functions will be using the AWS SDKs to perform various data processing tasks. You’ll learn about the different configurations that exist for Lambda, and we will show you how to create and manage lambda functions. Some of the features of our API will require multiple lambda functions to execute in a specific order, like a workflow, and we will use AWS Step Functions to create a serverless workflow. Finally, we will talk about how to optimize your APIs at every layer using AWS features.

Note: There are four versions of this class, ""Building Modern Node.js Applications on AWS"" for Node.js developers, Building Modern Java Applications on AWS"" for Java developers, ""Building Modern .NET Applications on AWS"" for .NET developers, and this course, ""Building Modern Python Applications on AWS"" for Python developers. The courses do for a large part, overlap and in general, we recommend that you take the course that focuses on the SDK you plan to use to develop your AWS Cloud based applications.

We expect that you have basic knowledge of AWS already. Some examples of concepts you should be familiar with are: you should know the basics of the AWS Global infrastructure, like what regions and availability zones are. You also should know the at a high-level AWS Identity and Access Management, or IAM, and how it is used to control access to AWS resources. You should also understand what an Amazon EC2 instance is, what Amazon S3 is, what a VPC is, as well as other basic AWS terminology.",78498.0,53398.0,4.5,699.0
Building No-Code Apps with AppSheet: Automation,https://www.coursera.org/learn/building-no-code-apps-with-appsheet-automation,Information Technology,Cloud Computing,Google Cloud Training,"This course helps you recognize the need to implement business process automation in your organization. You learn about automation patterns and use cases, and how to use AppSheet constructs to implement automation in your app. You learn about the various features of AppSheet automation, and integrate your app with Google Workspace products. You also learn how to send email, push notifications and text messages from your app, parse documents and generate reports with AppSheet automation.",,1823.0,,
Building No-Code Apps with AppSheet: Foundations,https://www.coursera.org/learn/building-no-code-apps-with-appsheet-foundations,Information Technology,Cloud Computing,Google Cloud Training,"In this course you will learn the fundamentals of no-code app development and recognize use cases for no-code apps. The course provides an overview of the AppSheet no-code app development platform and its capabilities. You learn how to create an app with data from spreadsheets, create the app’s user experience using AppSheet views and publish the app to end users.",4863.0,13129.0,4.7,86.0
Building No-Code Apps with AppSheet: Implementation,https://www.coursera.org/learn/building-no-code-apps-with-appsheet-implementation,Information Technology,Cloud Computing,Google Cloud Training,"This course teaches you how to implement various capabilities that include data organization and management, application security, actions and integrations in your app using AppSheet. The course also includes topics on managing and upgrading your app, improving performance and troubleshooting issues with your app.",,5490.0,,
Building Realtime Pipelines in Cloud Data Fusion,https://www.coursera.org/learn/googlecloud-building-realtime-pipelines-in-cloud-data-fusion-kyjfm,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Building Resilient Streaming Analytics Systems on GCP em Português Brasileiro,https://www.coursera.org/learn/streaming-analytics-systems-gcp-br,Information Technology,Cloud Computing,Google Cloud Training,"*Observação: este é um curso novo com conteúdo atualizado diferente da versão anterior desta especialização.

Cada vez mais, as empresas usam o processamento de dados de streaming para gerar métricas sobre as operações comerciais em tempo real. Neste curso, explicamos como criar pipelines de dados de streaming no Google Cloud Platform e como processar esses dados no Cloud Pub/Sub. Também mostramos como aplicar agregações e transformações aos dados de streaming usando o Cloud Dataflow e como armazenar os registros processados no BigQuery ou no Cloud Bigtable para serem analisados. Na atividade prática do Qwiklabs, os participantes criarão componentes de pipeline de dados de streaming no Google Cloud Platform.",,,,
Building Resilient Streaming Analytics Systems on GCP en Español,https://www.coursera.org/learn/streaming-analytics-systems-gcp-es,Information Technology,Cloud Computing,Google Cloud Training,"*Nota: Este es un curso nuevo con contenido actualizado diferente de la versión anterior de esta especialización.

El procesamiento de datos de transmisión es cada vez más popular, ya que la transmisión les permite a las empresas obtener métricas en tiempo real sobre sus operaciones comerciales. En este curso, se describe cómo compilar canalizaciones de datos de transmisión en Google Cloud Platform. También se describe el proceso de Cloud Pub/Sub para manejar los datos de transmisión entrantes. Además, el curso abarca el proceso sobre cómo aplicar agregaciones y transformaciones a los datos de transmisión con Cloud Dataflow, y cómo almacenar registros procesados en BigQuery o Cloud Bigtable para su análisis. Los participantes obtendrán experiencia práctica sobre cómo compilar los componentes de la canalización de datos de transmisión en Google Cloud Platform mediante QwikLabs.",,1535.0,4.8,31.0
Building Resilient Streaming Analytics Systems on GCP en Français,https://www.coursera.org/learn/streaming-analytics-systems-gcp-fr,Information Technology,Cloud Computing,Google Cloud Training,"*Remarque : Ceci est un nouveau cours proposant des contenus actualisés, différents de ceux que vous avez peut-être vus dans la précédente version de cette spécialisation.

Le traitement des données par flux devient de plus en plus populaire, car il permet aux entreprises d'obtenir des statistiques en temps réel sur leurs opérations commerciales. Dans ce cours, vous apprendrez à créer des pipelines de traitement de données par flux dans Google Cloud Platform, à traiter les flux de données entrants avec Cloud Pub/Sub, à appliquer des agrégations et des transformations aux flux de données via Cloud Dataflow et à stocker les enregistrements traités dans BigQuery ou Cloud BigTable à des fins d'analyse. Vous apprendrez également à créer les composants d'un pipeline de traitement de données par flux dans Google Cloud Platform dans le cadre d'un atelier QwikLabs.",,,,
Building Resilient Streaming Analytics Systems on GCP 日本語版,https://www.coursera.org/learn/streaming-analytics-systems-gcp-jp,Information Technology,Cloud Computing,Google Cloud Training,"* 注: このコースは、本専門講座の旧バージョンの内容を更新して新たに作成したものです。

ストリーミングの活用によって事業運営に関する指標をリアルタイムで入手できるようになり、企業ではますますストリーミング データの処理が行われるようになっています。このコースでは、Google Cloud Platform でストリーミング データ パイプラインを構築する方法について説明します。受信したストリーミング データを処理するための Cloud Pub/Sub についても解説します。また、Cloud Dataflow を使用してストリーミング データに集計と変換を適用する方法と、処理済みレコードを BigQuery やCloud Bigtable に保存して分析する方法も取り上げます。Qwiklabs を使用して、Google Cloud Platform でストリーミング データ パイプライン コンポーネントを実際に構築することができます。",,4142.0,4.8,17.0
Building Resilient Streaming Analytics Systems on Google Cloud,https://www.coursera.org/learn/streaming-analytics-systems-gcp,Information Technology,Cloud Computing,Google Cloud Training,"Processing streaming data is becoming increasingly popular as streaming enables businesses to get real-time metrics on business operations. This course covers how to build streaming data pipelines on Google Cloud. Pub/Sub is described for handling incoming streaming data. The course also covers how to apply aggregations and transformations to streaming data using Dataflow, and how to store processed records to BigQuery or Cloud Bigtable for analysis. Learners will get hands-on experience building streaming data pipeline components on Google Cloud using QwikLabs.",29910.0,30642.0,4.6,1182.0
Building Smart Business Assistants with IBM Watson,https://www.coursera.org/learn/building-smart-business-assistants-ibm-watson,Information Technology,Cloud Computing,Mohammed Al M.,"This is two-hour project-based course teaches how to create a smart chatbot for your business using IBM Watson Assistant, and deploy it to live preview link. You will learn how to harness the power of AI to answer customer questions on multiple platforms. In this project, each step is demonstrated and you can follow along by repeating each step of the process. Take additional time after each step to make your conversation as robust as you desire.


In this project you will learn:

How to create an IBM Cloud account and Watson’s Assistant.
How to configure a Watson's Assistant to capture customer goals from their input.
How to build meaningful dialogs in Watson's Assistant.
How to configure IBMs Watson Assistant to extract objects from customers input.
How to deploy a live version of your Watson Assistant to interact with online customers.",8634.0,,4.6,438.0
Building Transformations and Preparing Data with Wrangler in Cloud Data Fusion,https://www.coursera.org/learn/googlecloud-building-transformations-and-preparing-data-with-wrangler-in-c-ya4z6,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Building Virtual Agent Fulfillment,https://www.coursera.org/learn/googlecloud-building-virtual-agent-fulfillment-fijdy,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Building a High-throughput VPN,https://www.coursera.org/learn/googlecloud-building-a-high-throughput-vpn-hzqkc,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Building a VPN Between Google Cloud and AWS with Terraform,https://www.coursera.org/learn/googlecloud-building-a-vpn-between-google-cloud-and-aws-with-terraform-kuieh,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Business Case for Cloud Workloads,https://www.coursera.org/learn/business-case-for-cloud-workloads,Information Technology,Cloud Computing,Jennifer James,"Learn what a workloads placement strategy is, why it is important, and how to demonstrate to customers the tangible value that Intel® technical optimizations offer as part of the workload placement process.

●	Cloud Customer Business Drivers and Requirements: This lesson identifies what business and ecosystem drivers lead a business to adopt a cloud infrastructure and what requirements that should incorporate into their cloud business decisions. (Duration: 30 minutes)

●	Cloud Services Business Impacts: In this lesson you will learn about cloud services considerations, cloud transformation business methodology, and the value of Intel technology in the cloud. (Duration: 30 minutes)

●	Yes: This lesson describes the challenges businesses face in building a digital enterprise and how the cloud supported by Intel® technology help deliver strong value in meeting their business requirements. (Duration: 30 minutes)

●	Aligning Cloud Business Needs - Use Case Discussions: This lesson provides role play scenarios describing how to handle four distinct cloud business use case discussions. (Duration: 41 minutes)",,,,
Caching and Datagroups with LookML,https://www.coursera.org/learn/googlecloud-caching-and-datagroups-with-lookml-4eyik,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Check Point Jump Start - CloudGuard Workload Protection,https://www.coursera.org/learn/check-point-jump-start---cloudguard-workload-protection,Information Technology,Cloud Computing,"Check Point Software Technologies, Ltd., Lavi B.","The purpose of this program is to give you an insight into the security challenges involving workload protection and application security in the cloud, and Check Point’s solutions for those challenges. The program will also enable you to perform a basic deployment and configuration of the various solutions under the CloudGuard umbrella.

Chapter 1 - Program introduction

Chapter 2 – Introduction to Workload protection and application security

Lesson 1: Introduction to cybersecurity in the cloud

Lesson 2: Security challenges of cloud workloads

Lesson 3: CloudGuard Workload Protection

Chapter 3 - CloudGuard Workload Protection - Container Security

Lesson 1: Recap

Lesson 2: Runtime Protection

Lesson 3: Image Assurance

Lesson 4: Admission Control

Lesson 5: Threat Intelligence

Lesson 6: Posture Management

Lesson 7: Deployment

Lesson 8: Deployment troubleshooting

Chapter 4 - Shifting protection to the left with CloudGuard ShiftLeft

Lesson 1: Introduction to shifting security to the left

Lesson 2: Deployment

Chapter 5 – CloudGuard Workload protection - Serverless Security

Lesson 1: Serverless security

Lesson 2: CloudGuard Serverless Security for AWS Lambda

Lesson 3: Deployment

Chapter 6 – CloudGuard Application Security and API Protection

Lesson 1: Introduction to application security and API protection

Lesson 2: The CloudGuard AppSec solution

Lesson 3: Architecture and deployment considerations

Lesson 4: Deployment process

Lesson 5: Deployment

Lesson 6: Setting up API protection

Lesson 7: Data and customization of AppSec policy

Chapter 7 – Program summary

Check Point CloudGuard provides unified cloud-native security for all your assets and workloads, giving you the confidence to automate security, prevent threats, and manage posture – everywhere – across your multi-cloud environment.",,,,
Check Point Jump Start: CloudGuard Posture Management,https://www.coursera.org/learn/check-point-jump-start-cloudguard-posture-management,Information Technology,Cloud Computing,"Daniel Niazov, Check Point Software Technologies, Ltd.","In this course, you will learn about what is Posture Management, why you need a Posture Management solution, and what makes Check Point CloudGuard Posture management solution the Global leader in Cloud Protection.

Lesson 1 - What is Posture Management?
Lesson 2 – What are the Cloud Security Challenges?
Lesson 3 - What is Check Point CloudGuard Posture Management?
Lesson 4 - How does CloudGuard Posture Management Work?
Lesson 5 – CloudGuard Posture Management Course Summary
Lesson 6 – Posture Management Demo Lab",,,,
Check Point Jump Start: Harmony Endpoint Security,https://www.coursera.org/learn/check-point-jump-start-harmony-endpoint-security,Information Technology,Cloud Computing,"Daniel Niazov, Check Point Software Technologies, Ltd.","Harmony Endpoint is a complete solution that protects the remote workforce from today’s complex threat landscape. It prevents the most imminent threats to the endpoint such as ransomware, phishing, or drive-by malware, while quickly minimizing breach impact with autonomous detection and response.

With remote users connecting to your corporate applications from anywhere, your organization’s attack surface is increasingly expanding.

Check Point Harmony is the industry’s first unified security solution for users' devices and access.It protects devices and internet connections from the most sophisticated attacks while ensuring zero-trust access to corporate applications.

The course modules are:

Introduction 

Architecture

Architecture-the Flow

Architecture-Accessing the Endpoint Server

Deployment

Deployment-Installing the Client on Windows

Deployment-Installing the Client on Linux

Deployment-Visibility

Deployment-Change Policy

Deployment-Upgrade

Deployment-Remove a client

Communication

Communication-Port, Services, and URLs

Exclusions

Summary

Check Point Software Technologies Ltd. is a leading provider of cybersecurity solutions to governments and corporate enterprises globally. Its solutions protect customers from 5th generation cyber-attacks with an industry-leading catch rate of malware, ransomware, and other types of attacks. Check Point offers multilevel security architecture, “Infinity” Total Protection with Gen V advanced threat prevention, which defends enterprises’ cloud, network, and mobile device-held information. Check Point provides the most comprehensive and intuitive one point of control security management system. Check Point protects over 100,000 organizations of all sizes.",,,,
Check Point: Next-Gen Data Center Security CloudGuard for Google Cloud,https://www.coursera.org/learn/googlecloud-check-point-next-gen-data-center-security-cloudguard-for-googl-eyzpg,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Cisco: SD-WAN Cloud Hub with Google Cloud,https://www.coursera.org/learn/googlecloud-cisco-sd-wan-cloud-hub-with-google-cloud-xxc7x,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Classify Images of Clouds in the Cloud with AutoML Vision,https://www.coursera.org/learn/googlecloud-classify-images-of-clouds-in-the-cloud-with-automl-vision-boydv,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Clean Up Unused IP Addresses,https://www.coursera.org/learn/googlecloud-clean-up-unused-ip-addresses-dcktm,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Clean Up Unused and Orphaned Persistent Disks,https://www.coursera.org/learn/googlecloud-clean-up-unused-and-orphaned-persistent-disks-806hr,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Cloud Application Security,https://www.coursera.org/learn/cloud-application-security,Information Technology,Cloud Computing,Rick Smith,"After completing the course, the student should be able to do the following:

● List and describe the OWASP Top 10 vulnerabilities.
● Identify methods to provide cloud security assurance as part of the development life cycle, e.g. in a continuous delivery environment.
● List and describe the different types of virtualization or sandboxing used to protect cloud applications at either the server or client.
● Describe the application of authentication factors and federated identity solutions in cloud client and server authentication.
● Given a cloud application, explain where and how the necessary crypto keys, passwords, and other security secrets should be stored and distributed.",,2228.0,4.1,12.0
Cloud Applications,https://www.coursera.org/learn/cloud-app,Information Technology,Cloud Computing,Umakishore Ramchandran,"This course provides an introduction to the development and support for Cloud-native applications, more specifically it delves into best practices of developing applications; migrating on premise applications to the cloud; the basic building blocks and properties expected from Cloud applications. The course also provide highlights of some novel cloud applications, including geo-distributed computations.",,3754.0,4.3,13.0
Cloud CDN,https://www.coursera.org/learn/googlecloud-cloud-cdn-vovre,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Cloud Composer: Copying BigQuery Tables Across Different Locations,https://www.coursera.org/learn/googlecloud-cloud-composer-copying-bigquery-tables-across-different-locati-4dy9i,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Cloud Composer: Qwik Start - Command Line,https://www.coursera.org/learn/googlecloud-cloud-composer-qwik-start-command-line-yjs3w,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Cloud Composer: Qwik Start - Console,https://www.coursera.org/learn/googlecloud-cloud-composer-qwik-start-console-9tte1,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Cloud Computing,https://www.coursera.org/learn/meta-cloud-computing,Information Technology,Cloud Computing,Taught by Meta Staff,"Learn about the different tools and systems involved in cloud computing and dev ops. Explore popular cloud solutions and the benefits to cloud computing along with the core cloud architecture concepts and approaches. 

You’ll also learn about the pipelines, integration techniques and workflows involved in dev ops. You’ll understand the methods and tools involved in delivery and deployment. Plus, you’ll learn about the core concepts that underpin the use of containers such as Docker and Kubernetes and how they are used. Finally, discover how all the different dev ops principles come together to form the practice of site reliability engineering.",2558.0,7796.0,,
Cloud Computing Basics (Cloud 101),https://www.coursera.org/learn/cloud-computing-basics,Information Technology,Cloud Computing,Jim Sullivan,"Welcome to Cloud Computing Basics (Cloud 101). 

Over the next few weeks, we will discuss the basics of Cloud computing: what it is, what it supports, and how it is delivered. We will delve into storage services, Cloud economics, levels of managed infrastructure, and Azure services. We will also explore different deployment models of Cloud computing, as well as several hosting scenarios. Last but not least, we will compare some of the cloud platforms and discuss the future of cloud computing.",146941.0,91924.0,4.5,6150.0
Cloud Computing Foundations,https://www.coursera.org/learn/cloud-computing-foundations-duke,Information Technology,Cloud Computing,Noah Gift,"Welcome to the first course in the Building Cloud Computing Solutions at Scale Specialization! In this course, you will learn how to build foundational Cloud computing infrastructure, including websites involving serverless technology and virtual machines. You will also learn how to apply Agile software development techniques to projects which will be useful in building portfolio projects and global-scale Cloud infrastructures. 

This course is ideal for beginners as well as intermediate students interested in applying Cloud computing to data science, machine learning and data engineering. Students should have beginner level Linux and intermediate level Python skills. For your project in this course, you will build a statically hosted website using the Hugo framework, AWS Code Pipelines, AWS S3 and GitHub.",11948.0,37622.0,4.6,164.0
Cloud Computing Primer: Infrastructure as a Service (IaaS),https://www.coursera.org/learn/codio-cloud-computing-primer-semi-tech-business-infrastructure-as-a-service-iaas,Information Technology,Cloud Computing,Anh Le,"Explore cloud computing basics without installing anything!

This course is designed for semi-technical and business learners, providing a solid foundation of cloud computing basics. Learners will build an understanding of how infrastructure as a service (IaaS) works as well. The modules in this course cover cloud computing basics, considerations for IaaS adoption, techniques for IaaS success and growth, as well as provide an exploratory IaaS experience for learners.

To allow for a truly hands-on, self-paced learning experience, this course is video-free. Assignments contain short explanations with images and suggested exploration examples, building a deeper understanding by doing. You'll benefit from instant feedback from a variety of assessment items along the way, gently progressing from quick understanding checks (multiple choice, fill in the blank, and un-scrambling answer blocks) to small, approachable exercises that take minutes instead of hours.",,,,
Cloud Computing Primer: Platform as a Service (PaaS),https://www.coursera.org/learn/codio-cloud-computing-primer-semi-tech-business-platform-as-a-service-paas,Information Technology,Cloud Computing,Anh Le,"Explore cloud computing basics without installing anything!

This course is designed for semi-technical and business learners, providing a solid foundation of cloud computing basics. Learners will build an understanding of how platform as a service (PaaS) works as well. The modules in this course cover cloud computing basics, considerations for PaaS adoption, techniques for PaaS success and growth, as well as provide an exploratory PaaS experience for learners.

To allow for a truly hands-on, self-paced learning experience, this course is video-free. Assignments contain short explanations with images and suggested exploration examples, building a deeper understanding by doing. You'll benefit from instant feedback from a variety of assessment items along the way, gently progressing from quick understanding checks (multiple choice, fill in the blank, and un-scrambling answer blocks) to small, approachable exercises that take minutes instead of hours.",,,,
Cloud Computing Primer: Software as a Service (SaaS),https://www.coursera.org/learn/codio-cloud-computing-primer-semi-tech-business-software-as-a-service-saas,Information Technology,Cloud Computing,Anh Le,"Explore cloud computing basics without installing anything!

This course is designed for semi-technical and business learners, providing a solid foundation of cloud computing basics. Learners will build an understanding of how software as a service (SaaS) works as well. The modules in this course cover cloud computing basics, considerations for SaaS adoption, techniques for SaaS success and growth, as well as provide an exploratory SaaS experience for learners.

To allow for a truly hands-on, self-paced learning experience, this course is video-free. Assignments contain short explanations with images and suggested exploration examples, building a deeper understanding by doing. You'll benefit from instant feedback from a variety of assessment items along the way, gently progressing from quick understanding checks (multiple choice, fill in the blank, and un-scrambling answer blocks) to small, approachable exercises that take minutes instead of hours.",,4458.0,,
Cloud Cost Management: Optimization Strategies,https://www.coursera.org/learn/cloud-cost-management-optimization-strategies,Information Technology,Cloud Computing,Morgan Willis,"Cloud cost management is the organizational planning that allows an enterprise to understand and manage the costs and needs associated with its cloud technology. In particular, this means finding cost-effective ways to maximize cloud usage and efficiency. AWS has a set of services, tools and resources to help the customers with cost management and optimization. This course will highlight the solutions and best practices to get started with optimizing AWS cost and capacity.

For effective cost control in cloud computing services, it is quite important to analyze and manage cloud cost and leverage cloud cost management tools to help discover the cause(s) of these inefficiencies. Unplanned cloud costs are frequently the result of lack of visibility about the current consumption patterns and past trends, nonstandard deployments that come from unclear or absent development processes, poor organization, or the absence of automated deployment and configuration tools. By contrast with on-premise infrastructure, which is financed by fixed upfront investments, cloud consumption is an everyday operational expense. This requires a huge shift in your approach to operational management, where optimizing cloud cost is as important as optimizing performance.

A well-defined cost optimization framework helps establish cloud budget, design standards and best practices to follow that budget, and employ cloud solutions that support the organization’s financial goals.",,4172.0,4.6,14.0
Cloud Data Engineering,https://www.coursera.org/learn/cloud-data-engineering-duke,Information Technology,Cloud Computing,Noah Gift,"Welcome to the third course in the Building Cloud Computing Solutions at Scale Specialization! In this course, you will learn how to apply Data Engineering to real-world projects using the Cloud computing concepts introduced in the first two courses of this series. By the end of this course, you will be able to develop Data Engineering applications and use software development best practices to create data engineering applications. These will include continuous deployment, code quality tools, logging, instrumentation and monitoring. Finally, you will use Cloud-native technologies to tackle complex data engineering solutions. 

This course is ideal for beginners as well as intermediate students interested in applying Cloud computing to data science, machine learning and data engineering. Students should have beginner level Linux and intermediate level Python skills. For your project in this course, you will build a serverless data engineering pipeline in a Cloud platform: Amazon Web Services (AWS), Azure or Google Cloud Platform (GCP).",4782.0,16261.0,4.1,43.0
Cloud Data Security,https://www.coursera.org/learn/cloud-data-security,Information Technology,Cloud Computing,Rick Smith,"This course gives learners an opportunity to explore data security in the cloud. In this course, learners will:

* Dive into the data services offered by cloud providers and compare their security features.
* Analyze a data breach and trace it back to the vulnerability that made it possible.
* Learn about database injection and aggregation attacks.
* Follow the life cycle of a data item and its relationship to privacy and integrity.
* Associate modern privacy requirements with US and European laws.",,4664.0,,
Cloud Endpoints: Qwik Start,https://www.coursera.org/learn/googlecloud-cloud-endpoints-qwik-start-tetvn,Information Technology,Cloud Computing,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
